1,2,1,3,5,7,9,109,107,108,110,111,112,113,114,115,116,117,118,119,120,121,122,0
1,1,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
101,2,101,3,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
302,4,101,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302
302,4,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
6,6,6,6,303,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
303,303,303,303,103,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303
8,8,8,8,8,304,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,104,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
106,106,106,106,106,106,106,10,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,105,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
